"method","path","tags","operation_id","summary"
"DELETE","/acquisitions/orders/{order_id}","orders","deleteOrder","Delete order"
"DELETE","/acquisitions/vendors/{vendor_id}","vendors","deleteVendor","Delete vendor"
"DELETE","/advanced_editor/macros/{advancededitormacro_id}","macros","deleteAdvancedEditorMacro","Delete advanced editor macro"
"DELETE","/advanced_editor/macros/shared/{advancededitormacro_id}","macros","deletesharedAdvancedEditorMacro","Delete shared advanced editor macro"
"DELETE","/article_requests/{article_request_id}","article_requests","cancelArticleRequest","Cancel article requests"
"DELETE","/auth/identity_providers/{identity_provider_id}","identity_providers","delIdentityProvider","Delete identity provider"
"DELETE","/auth/identity_providers/{identity_provider_id}/domains/{identity_provider_domain_id}","identity_providers","delIdentityProviderDomain","Delete identity provider"
"DELETE","/authorities/{authority_id}","authorities","deleteAuthority","Delete authority"
"DELETE","/biblios/{biblio_id}","biblios","deleteBiblio","Delete biblio"
"DELETE","/biblios/{biblio_id}/item_groups/{item_group_id}","item_groups","deleteItemGroup","Delete item group"
"DELETE","/biblios/{biblio_id}/item_groups/{item_group_id}/items/{item_id}","item_groups","deleteItemGroupItems","Delete item from item group"
"DELETE","/bookings/{booking_id}","bookings","deleteBooking","Delete booking"
"DELETE","/cities/{city_id}","cities","deleteCity","Delete city"
"DELETE","/config/file_transports/{file_transport_id}","file_transports","deleteFileTransportServer","Delete File transport"
"DELETE","/config/smtp_servers/{smtp_server_id}","smtp_servers","deleteSMTPServer","Delete SMTP server"
"DELETE","/erm/agreements/{agreement_id}","erm_agreements","deleteErmAgreements","Delete agreement"
"DELETE","/erm/counter_files/{erm_counter_files_id}","erm_counter_files","deleteERMCounterFiles","Delete counter_file"
"DELETE","/erm/default_usage_reports/{erm_default_usage_report_id}","erm_default_usage_reports","deleteERMDefaultUsageReports","Delete default_usage_report"
"DELETE","/erm/eholdings/{provider}/packages/{package_id}","erm_eholdings_packages","deleteErmEHoldingsPackages","Delete eHoldings package"
"DELETE","/erm/eholdings/{provider}/titles/{title_id}","erm_eholdings_titles","deleteErmEHoldingsTitles","Delete eHolding title"
"DELETE","/erm/licenses/{license_id}","erm_licences","deleteERMlicenses","Delete license"
"DELETE","/erm/usage_data_providers/{erm_usage_data_provider_id}","erm_usage_data_providers","deleteERMUsageDataProviders","Delete usage_data_provider"
"DELETE","/holds/{hold_id}","holds","deleteHold","Cancel hold"
"DELETE","/holds/{hold_id}/suspension","holds","resumeHold","Resume hold"
"DELETE","/holds/cancellation_bulk","holds","deleteHolds","Cancel holds"
"DELETE","/ill/batches/{ill_batch_id}","ill_batches","deleteBatch","Delete ILL batch"
"DELETE","/ill/batchstatuses/{ill_batchstatus_code}","ill_batchstatuses","deleteBatchstatus","Delete ILL batch status"
"DELETE","/ill/iso18626_requesting_agencies/{iso18626_requesting_agency_id}","iso18626_requesting_agencies","deleteIso18626IllrequestingAgency","Delete ISO18626 ILL requesting agency"
"DELETE","/import_batch_profiles/{import_batch_profile_id}","batch_import_profiles","deleteImportBatchProfiles","Delete batch import profile"
"DELETE","/import_batches/{import_batch_id}/records/{import_record_id}/matches/chosen","import_batches","unsetChosen","Unset the chosen match for an import record ID"
"DELETE","/items/{item_id}","items","deleteItem","Delete item"
"DELETE","/items/{item_id}/bundled_items/{bundled_item_id}","items","removeFromBundle","Remove item from bundle"
"DELETE","/libraries/{library_id}","libraries","deleteLibrary","Delete library"
"DELETE","/patrons/{patron_id}","patrons","deletePatron","Delete patron"
